,price,rooms,area,location1,market
0,600000.0,3,67.65,Stare Miasto,secondary
1,689000.0,3,59.0,Śródmieście,secondary
2,1149200.0,3,77.36,Stare Miasto,primary
3,455000.0,2,36.2,Śródmieście,secondary
4,1100000.0,3,64.57,Fabryczna,secondary
5,795000.0,2,67.0,Stare Miasto,secondary
6,999000.0,4,92.2,Stare Miasto,primary
7,679774.0,3,58.15,Psie Pole,primary
8,541000.0,2,44.14,Krzyki,primary
9,570000.0,3,67.48,Fabryczna,secondary
10,518800.0,1,30.65,Stare Miasto,primary
11,890000.0,3,58.25,Krzyki,secondary
12,420000.0,1,33.0,Krzyki,secondary
13,529000.0,3,44.05,Fabryczna,secondary
14,850000.0,3,91.89,Krzyki,primary
15,648099.0,3,56.87,Psie Pole,primary
16,449085.0,1,31.85,Fabryczna,primary
17,823200.0,4,83.9,Krzyki,primary
18,525000.0,1,30.0,Krzyki,secondary
19,711000.0,2,37.91,Stare Miasto,primary
20,687997.0,2,52.01,Stare Miasto,secondary
21,415066.0,1,29.23,Krzyki,primary
22,900000.0,4,65.6,Stare Miasto,secondary
23,569813.0,2,47.17,Krzyki,primary
24,822059.0,5,81.4,Fabryczna,primary
25,1095000.0,4,90.72,Krzyki,secondary
26,819000.0,3,71.0,Stare Miasto,primary
27,580000.0,3,62.43,Fabryczna,secondary
28,795000.0,3,62.61,Fabryczna,secondary
29,772328.0,3,64.63,Krzyki,primary
30,595000.0,2,48.0,Śródmieście,secondary
31,499000.0,2,41.78,Fabryczna,secondary
32,450915.0,1,39.0,Krzyki,primary
33,666400.0,2,56.0,Śródmieście,secondary
34,649000.0,2,59.0,Stare Miasto,secondary
35,1039131.0,4,78.98,Stare Miasto,primary
36,537509.0,4,59.88,Krzyki,primary
37,869000.0,3,82.1,Fabryczna,secondary
38,754290.0,2,37.87,Stare Miasto,primary
39,310000.0,2,36.8,Krzyki,primary
40,649000.0,3,57.0,Krzyki,secondary
41,869000.0,3,62.86,Stare Miasto,primary
42,505000.0,3,64.0,Fabryczna,secondary
43,541700.0,2,35.0,Stare Miasto,primary
44,599000.0,2,54.1,Fabryczna,secondary
45,729708.0,3,61.32,Psie Pole,primary
46,528500.0,2,44.14,Krzyki,primary
47,664222.0,2,50.13,Fabryczna,primary
48,539000.0,1,30.68,Stare Miasto,primary
49,649000.0,4,83.014,Fabryczna,secondary
50,675000.0,2,65.0,Śródmieście,secondary
51,569000.0,2,46.4,Psie Pole,primary
52,839711.0,3,70.82,Stare Miasto,primary
53,729999.0,3,69.02,Stare Miasto,secondary
54,626000.0,2,57.2,Krzyki,secondary
55,444000.0,2,47.15,Psie Pole,primary
56,599000.0,3,52.0,Psie Pole,primary
57,689000.0,2,38.32,Krzyki,secondary
58,654192.0,2,51.92,Fabryczna,primary
59,913104.0,4,90.13,Krzyki,primary
60,665000.0,3,60.1,Fabryczna,primary
61,399609.0,2,39.58,Krzyki,primary
62,840000.0,3,69.5,Stare Miasto,secondary
63,669000.0,3,63.0,Śródmieście,secondary
64,510000.0,2,42.97,Krzyki,secondary
65,593170.0,2,44.6,Krzyki,primary
66,747810.0,4,71.22,Fabryczna,primary
67,715000.0,2,46.66,Krzyki,secondary
68,800000.0,3,70.0,Psie Pole,secondary
69,683952.0,1,34.14,Śródmieście,primary
70,578085.0,2,45.34,Krzyki,primary
71,674560.0,2,48.02,Psie Pole,primary
72,479000.0,2,46.0,Śródmieście,secondary
73,470000.0,2,42.9,Psie Pole,primary
74,635000.0,3,66.7,Fabryczna,secondary
75,789646.0,4,55.22,Śródmieście,primary
76,990000.0,4,77.6,Fabryczna,secondary
77,850000.0,3,63.0,Fabryczna,secondary
78,699600.0,2,53.0,Śródmieście,primary
79,629000.0,4,63.0,Psie Pole,secondary
80,520000.0,2,37.0,Fabryczna,secondary
81,985000.0,3,57.0,Stare Miasto,secondary
82,499900.0,2,46.0,Fabryczna,secondary
83,549000.0,3,46.85,Psie Pole,primary
84,512900.0,3,47.2,Psie Pole,primary
85,711212.0,2,41.79,Stare Miasto,primary
86,499000.0,2,48.0,Fabryczna,secondary
87,615000.0,3,64.02,Śródmieście,secondary
88,578900.0,2,39.0,Stare Miasto,primary
89,648888.0,3,56.92,Psie Pole,primary
90,718283.0,2,39.45,Stare Miasto,primary
91,410000.0,2,38.0,Śródmieście,secondary
92,880000.0,3,65.0,Krzyki,secondary
93,538508.0,2,44.14,Krzyki,primary
94,465000.0,2,37.0,Fabryczna,secondary
95,797076.0,3,63.26,Fabryczna,primary
96,649000.0,3,64.4,Fabryczna,secondary
97,929000.0,3,64.5,Krzyki,secondary
98,810000.0,3,53.9,Śródmieście,primary
99,410000.0,2,37.56,Fabryczna,secondary
100,722370.0,3,65.67,Fabryczna,primary
101,560000.0,2,49.23,Fabryczna,secondary
102,538509.0,4,61.16,Krzyki,primary
103,839000.0,2,44.95,Śródmieście,secondary
104,520000.0,1,43.96,Stare Miasto,secondary
105,399000.0,2,34.0,Krzyki,secondary
106,639000.0,3,50.97,Psie Pole,primary
107,652500.0,3,52.2,Krzyki,primary
108,599000.0,2,48.17,Stare Miasto,primary
109,678912.0,1,38.52,Stare Miasto,primary
110,669000.0,3,51.02,Psie Pole,primary
111,750000.0,4,80.0,Stare Miasto,secondary
112,499000.0,2,45.0,Krzyki,secondary
113,690000.0,3,66.0,Psie Pole,primary
114,719000.0,3,58.1,Psie Pole,primary
115,718284.0,2,39.45,Stare Miasto,primary
116,445000.0,2,35.8,Stare Miasto,secondary
117,610000.0,2,50.0,Krzyki,secondary
118,1074453.0,3,55.49,Stare Miasto,primary
119,659000.0,3,57.47,Psie Pole,primary
120,458800.0,2,32.0,Krzyki,primary
121,1249000.0,3,85.0,Fabryczna,secondary
122,719810.0,3,63.7,Krzyki,primary
123,665032.0,3,59.4,Fabryczna,primary
