,price,rooms,area,location1,market,households_qty_per_location,rooms_per_households_qty,market_per_households_qty
0,600000.0,3,67.65,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1,689000.0,3,59.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
2,1149200.0,3,77.36,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
3,455000.0,2,36.2,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
4,1100000.0,3,64.57,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
5,795000.0,2,67.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
6,999000.0,4,92.2,Stare Miasto,primary,1133,0.353045013239188,0.5710503089143866
7,679774.0,3,58.15,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
8,541000.0,2,44.14,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
9,570000.0,3,67.48,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
10,518800.0,1,30.65,Stare Miasto,primary,1133,0.088261253309797,0.5710503089143866
11,890000.0,3,58.25,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
12,420000.0,1,33.0,Krzyki,secondary,1802,0.05549389567147614,0.5477247502774695
13,529000.0,3,44.05,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
14,850000.0,3,91.89,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
15,648099.0,3,56.87,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
16,449085.0,1,31.85,Fabryczna,primary,1211,0.08257638315441783,0.4624277456647399
17,823200.0,4,83.9,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
18,525000.0,1,30.0,Krzyki,secondary,1802,0.05549389567147614,0.5477247502774695
19,711000.0,2,37.91,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
20,687997.0,2,52.01,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
21,415066.0,1,29.23,Krzyki,primary,1802,0.05549389567147614,0.5477247502774695
22,900000.0,4,65.6,Stare Miasto,secondary,1133,0.353045013239188,0.5710503089143866
23,569813.0,2,47.17,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
24,822059.0,5,81.4,Fabryczna,primary,1211,0.41288191577208916,0.4624277456647399
25,1095000.0,4,90.72,Krzyki,secondary,1802,0.22197558268590456,0.5477247502774695
26,819000.0,3,71.0,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
27,580000.0,3,62.43,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
28,795000.0,3,62.61,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
29,772328.0,3,64.63,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
30,595000.0,2,48.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
31,499000.0,2,41.78,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
32,450915.0,1,39.0,Krzyki,primary,1802,0.05549389567147614,0.5477247502774695
33,666400.0,2,56.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
34,649000.0,2,59.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
35,1039131.0,4,78.98,Stare Miasto,primary,1133,0.353045013239188,0.5710503089143866
36,537509.0,4,59.88,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
37,869000.0,3,82.1,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
38,754290.0,2,37.87,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
39,310000.0,2,36.8,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
40,649000.0,3,57.0,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
41,869000.0,3,62.86,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
42,505000.0,3,64.0,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
43,541700.0,2,35.0,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
44,599000.0,2,54.1,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
45,729708.0,3,61.32,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
46,528500.0,2,44.14,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
47,664222.0,2,50.13,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
48,539000.0,1,30.68,Stare Miasto,primary,1133,0.088261253309797,0.5710503089143866
49,649000.0,4,83.014,Fabryczna,secondary,1211,0.3303055326176713,0.4624277456647399
